"REPORT_NUMBER"	"REPORT_RECEIVED_DATE"	"NAME"	"SIGNIFICANT"	"LOCATION_LATITUDE"	"LOCATION_LONGITUDE"	"NARRATIVE"
20100126	"6/25/2010"	"NUSTAR PIPELINE OPERATING PARTNERSHIP L.P."	"NO"	29.95687	-90.71667	"VACHERIE PUMP STATION IN LOUISIANA WAS BEING BLOWN DOWN TO PERFORM SCHEDULED MAINTENANCE. THE OPERATOR BEGAN SENDING NH3 TO THE BURN BOX (KNOCK-OUT POT)  FOR IGNITION THROUGH THE FLARE SYSTEM. APPROXIMATELY 45 MINUTES LATER NH3 WAS OBSERVED ORIGINATING FROM A CRACK IN THE BURN BOX. A WELDER WAS CALLED TO THE SITE TO WELD THE CRACK AND BLOW-DOWN OF THE STATION RESUMED. UPDATED PART A WITH NEW ADDRESS AND E5F PER PHMSA REQUEST."
20100127	"6/28/2010"	"SUNOCO PIPELINE L.P."	"NO"	32.06839	-96.4708	"CORSICANA STATION OPERATOR WAS PROVING METERS AT THE STATION.  WHILE DRAINING THE LAST PROVER A LEAK WAS NOTICED COMING FROM THE DRAIN LINE GOING TO THE SUMP.  THE LINE WAS EXCAVATED AND A CLAMP INSTALLED. WE WILL REPLACE THE COMPLETE DRAIN SYSTEM FOR THE FINAL REPAIR. RE-SUBMITTED ON 3/27/2013 TO INCLUDE PART E5F PER PHMSA REQUEST."
20100128	"6/29/2010"	"CITGO PRODUCTS PIPELINE CO"	"YES"	28.85030001	-97.00220001	"CITGO PRODUCTS PIPELINE COMPANY  JUNE 5, 2010 ACCIDEN. ON JUNE 5, 2010 A LOCAL CITIZEN NOTICED WHAT APPEARED TO BE DIESEL ON A ROADWAY AND JUST ADJACENT TO IT WHILE WALKING HIS DOG.  HE LOCATED A CITGO PIPELINE SIGN NEARBY AND CALLED THE EMERGENCY NUMBER ON THE SIGN.  THE CITGO CONTROL CENTER IN TULSA, OK RECEIVED THE CALL AT 10:30 A.M. AND SUBSEQUENTLY SHUTDOWN THE PIPELINE DOWN AT 10:31 A.M. AS A PRECAUTIONARY ACTION.  THE CITGO CONTROL CENTER IMMEDIATELY NOTIFIED FIELD EMPLOYEES OF THE POSSIBLE LEAK AND THEY DISPATCHED TO THE SITE. UPON ARRIVING AT THE SITE AND OBSERVING THE AMOUNT AND LOCATION OF THE DIESEL, PERSONNEL WERE NOT SURE WHETHER A THIRD PARTY OR POSSIBLY A VEHICLE MAY HAVE SPILLED THE DIESEL FUEL OR WHETHER THE CITGO PIPELINE WAS INDEED LEAKING.  THERE HAVE BEEN PAST OCCURRENCES OF SUCH EVENTS OF SPILLAGE BY THE PUBLIC SO EXCAVATION EQUIPMENT WAS DISPATCHED TO THE SITE TO ASCERTAIN WHETHER THE PIPELINE WAS LEAKING OR NOT.  NEITHER THE PIPELINE CPM SYSTEM NOR THE SCADA SYSTEM INDICATED A POSSIBLE LEAK TO THE PIPELINE SO NO INTERNAL COMPANY SYSTEMS ALERTED OF A LEAK AT THE SITE.  AT 16:40, OR 4:30 P.M. THE PIPELINE WAS UNCOVERED AND A LEAK FROM IT WAS OBSERVED.  UPON FORMAL CONFIRMATION AND DETERMINATION AT THAT TIME OF A PIPELINE ACCIDENT, CITGO NOTIFIED THE TCEQ AT 4:49 P.M., THE NATIONAL RESPONSE CORPORATION (NRC) WAS NOTIFIED AT 5:05 P.M. AND THE TEXAS RAILROAD COMMISSION (TRRC) WAS NOTIFIED AT 5:10 P.M.  ALL NOTIFICATIONS WERE WITHIN THE NOTED AGENCY GUIDELINES. THE CONCLUSIONS OF A METALLURGICAL STUDY OF THE FAILED PIPE SEGMENT PERFORMED BY KEIFNER AND ASSOCIATES DETERMINED THAT THE LEAK WAS CAUSED BY A PIN HOLE IN A " PUDDLE WELD" THAT WAS MADE TO REPAIR EXTERNAL CORROSION WHEN THE USED PIPE WAS RECONDITIONED AND CONSTRUCTED IN 1948.  THE WELD FULLY PENETRATED THE PIPE WALL AND LEFT A SMALL AMOUNT OF SOLIDIFIED WELD METAL (SOMETIMES REFERRED TO AS AN " ICICLE"") PROTRUDING INTO THE PIPE INTERIOR.  THE PROTRUSION APPEARED TO HAVE BEEN SCRAPED ON THE INSIDE OF THE PIPE WHICH EXPOSED A LEAK PATH THROUGH VOIDS AND SLAG INCLUSIONS IN THE WELD.  A PLAUSIBLE EXPLANATION FOR THE OBSERVED DAMAGE TO THE PROTRUSION IS THE PASSAGE OF IN-LINE CLEANING TOOLS. 8/2/2010  RBB"
20100129	"6/29/2010"	"SUNOCO PIPELINE L.P."	"NO"	29.74697	-95.12399	"THE PIN SHEARED ON THE BACK PRESSURE VALVE CAUSING THE VALVE TO MALFUNCTION.  THE CONTROLLER NOTICED THE PRESSURE INCREASE ABOVE THE SCADA " HIGH PRESSURE" ALARM SETTING.  CONTROLLER SHUT DOWN THE LINE AND CONTACTED THE FIELD PERSONNEL. RE-SUBMITTED ON 3/27/2013 TO INCLUDE PART E5F PER PHMSA REQUEST."
20100130	"6/29/2010"	"AMOCO OIL CO"	"YES"	41.844019	-85.741131	"AN IN-SERVICE FAILURE OCCURRED ON THE WHITING TO RIVER ROUGE PRODUCTS LINE ON MAY 29, 2010.  A POTENTIAL LEAK ALARM WAS RECEIVED AT THE PIPELINE CONTROL CENTER IN TULSA.  THE OPERATOR TOOK IMMEDIATE ACTION TO SHUTDOWN AND ISOLATE THE PIPELINE.  THE LOCAL OPERATIONS TEAM WAS CONTACTED AND FIELD PERSONNEL DISPATCHED TO THE SITE.  SUBSEQUENT CALLS WERE RECEIVED AT THE PIPELINE EMERGENCY NOTIFICATION CENTER CONFIRMING A RELEASE.  THE PIPELINE FAILURE RESULTED IN A LOSS OF GASOLINE WHICH WAS CONTAINED TO A CULTIVATED FIELD IN RURAL MICHIGAN. NO FIRE OR INJURIES OCCURRED AS A RESULT OF THE INCIDENT. THE AFFECTED SECTION OF PIPE WAS CUT OUT AND SUBMITTED TO A LABORATORY FOR TESTING.  A PRELIMINARY ENGINEERING ANALYSIS INDICATES THAT THE PIPE FAILURE OCCURRED AS A RESULT OF BOTTOMSIDE MECHANICAL DAMAGE INFLICTED PRIOR TO FIELD COATING OF THE PIPE IN 1953.  A RE-ROUNDING CRACK WAS PRESENT WITHIN THE MECHANICAL DAMAGE WHICH WAS PROPAGATED BY FATIGUE."
20100131	"6/29/2010"	"PLAINS PIPELINE, L.P."	"YES"	35.93019	-96.74132	"APPROXIMATELY 85 BARRELS OF CRUDE OIL WERE RELEASED WHEN A THERMAL RELIEF VALVE FAILED.  IN ADDITION, A FAILED COMMUNICATION RELAY DID NOT NOTIFY THE CONTROL CENTER OF A HIGH SUMP LEVEL OR EXCESSIVE RUN TIME, RESULTING IN THE OVERFILL OF THE SUMP.  PRODUCT ENTERED A NON-FLOWING TRIBUTARY OF WILDHORSE CREEK.  AN AREA APPROXIMATELY 900' X 2', ALONG THE TRIBUTARY, WAS IMPACTED.  THE IMPACTED SOILS WERE REMOVED AND TREATED ON SITE."
20100132	"6/29/2010"	"ONEOK NGL PIPELINE LP"	"YES"	35.55441	-97.10413	"FAILURE OF STEM PACKING ON STATION CONTROL VALVE AT HAMMETT BOOSTER, GAS DETECT ALARMED AND STATION WAS SHUT DOWN AND ISOLATED BY AUTOMATED SYSTEM."
20100133	"6/30/2010"	"CONOCOPHILLIPS"	"YES"	31.98743	-102.63968	"THE MX20 PIPELINE RUPTURED RELEASING NATURAL GAS LIQUIDS (NGL) UNDER PRESSURE.  THE NGL VAPORIZED UPON REACHING THE ATMOSPHERIC PRESSURE, BUT DID NOT IGNITE.  THE CAUSE OF THE RUPTURE IS UNDER INVESTIGATION PENDING METALLURGICAL STUDY AND ANCILLARY PIPELINE ACTIVITY. CPPL RECIEVED THE FINAL REPORT ON JULY 9, 2010, PHMSA RECIEVED A COPY OF THE REPORT ON THE SAME DAY. CONCLUSION:  THE FAILURE WAS CAUSED BY EXTERNAL MICROBIOLOGICALLY INFLUENCED CORROSION (MIC). THE WALL THICKNESS  HAD BEEN REDUCED SUCH THAT THE REMAINING LIGAMENT FAILED IN A DUCTILE MANNER AT NORMAL OPERATING PRESSURES. OTHER ANOMALIES WERE FOUND IN THE VICINITY OF THE RUPTURE, HOWEVER, IT WAS DETERMINED THAT NONE OF THE OTHER FEATURES CONTRIBUTED TO THE ROOT CAUSE OF THE FAILURE WHICH WAS EXTERNAL CORROSION OF THE PIPE.  THE FAILURE OCCURRED WHERE CPPL'S PIPELINE CROSSED A LARGER DIAMETER, CURRENTLY IDLES PIPELINE OPERATED BY ANOTHER COMPANY. AT SOME POINT AND TIME, CPPL'S PIPELINE WAS RECOATED WITH TAPE IN THE VICINITY OF THE FOREIGN PIPELINE. IT APPEARED THAT THE TAPE WAS APPLIED OVER THE ORIGINAL COATING - NOT DIRECLY TO THE PIPE SURFACE. THE TAPE WAS POORLY BONDED AND SHEILDED THE PIPE FROM CATHODIC PROTECTION. THE GROUND WAS REPORTABLY WE DURING EXCAVATION OF THE FAILURE DUE TO A LEAKING WATER PIPE IN THE AREA. THE SHEILDING FROM THE TAPE RECOAT IN COMBINATION WITH THE PRESENCE OF GROUNDWATER PROMOTED AN ENVIROMENT CONDUCTIVE TO MICROBIOLOGICAL ACTIVITY."
20100134	"6/30/2010"	"SUNOCO PIPELINE L.P."	"NO"	32.48191	-94.83511	"A PRESSURE SURGE CAUSED THE RELIEF VALVE TO OPEN AS DESIGNED.  THE RELIEF PIPING WAS SIZED LARGER THAN NECESSARY TO HANDLE THE ANTICIPATED FLOW, RESULTING IN A SURGE OF OIL INTO THE SUMP CAUSING THE SUMP TO OVERFILL AND OIL TO EXIT THE SUMP VIA THE 2 inch VENT LINE. RE-SUBMITTED 0N 3/27/2013 TO INCLUDE PART E5F PER PHMSA REQUEST."
20100135	"7/1/2010"	"SHELL PIPELINE CO., L.P."	"YES"	30.0124001	-90.4019001	"WHILE LAUNCHING AN ILI TOOL, THE ILI TOOL SNAGGED THE SPIRAL WOUND GASKET, UNWINDING THE GASKET UNTIL IT LOST INTEGRITY TO SEAL THE FLANGE SET."
20100136	"7/1/2010"	"SHELL PIPELINE CO., L.P."	"NO"	30.124278	-90.768367	"FOUND THE CHECK VALVE BONNET SEEPING AND REPAIRED BY RE-TORQUING THE BONNET NUTS."
20100137	"7/1/2010"	"COLONIAL PIPELINE CO"	"NO"	33.59667	-81.95333	"ON 9 JUNE, 2010, AT APPROXIMATELY 0800 EDT, A THIRD PARTY REPORTED TO THE LOCAL OPERATOR THAT HE HAD OBSERVED PRODUCT LEAKING FROM THE VICINITY OF THE TRANSMIX INJECTION PUMP. THE INJECTION PUMP WAS IMMEDIATELY SHUT DOWN AND THE OPERATIONS MANAGER WAS NOTIFIED. AN INSPECTION OF THE SYSTEM REVEALED A CRACK IN A 3/4 inch SCHEDULE 80 PIPE NIPPLE THAT WAS PART OF THE PUMP'S DISCHARGE RELEIF SYSTEM.  THE PIPE NIPPLE WITH THE CRACK WAS REMOVED AND A PERMANENT REPLECEMENT WAS INSTALLED. CONTRACT CREWS REMOVED APPROXIMATELY 6 CUBIC YARDS OF SOIL IN THE VICINITY OF THE PUMP. ADDITIONAL ASSESSMENT REVEALED PRODUCT HAD MIGRATED INTO THE SANDY SOIL TO THE DEPTH OF GROUNDWATER WHICH IS APPROXIMATELY 15 FEET BELOW LAND SURFZCE.  APEX ENVIRONMENTAL CONSULTANT HAS BEGAN FORMULATING A REMEDIATION PLAN USING CHEMICAL OXIDATION AGENTS. CURRENTLY AWAITING APPROVAL FROM SCDHEC TO BEGIN REMEDIATION. EXCAVATED SOIL WILL BE TRANSPORTED TO AN APPROVED DISPOSAL FACILITY. LORI LANDMEYER WITH SCDHEC WAS NOTIFIED OF THE RELEASE AT 1600 EDT ON 9 JUNE,2010. SHE REQUESTED FOLLOW UP INFORMATION AS IT BECOMES AVAILABLE.   THE RELEASED PRODUCT WAS IMMEDIATELY ABSORBED INTO THE SOIL AROUND THE PUMP BASE, THEREFORE EVAPORATIVE LOSSES WERE CONSIDERED TO BE NEGLIGIBLE.   ASSESSMENT ACTIVITIES INDICATE THAT APPROXIMATELY 66 TONS OF SOIL WERE IMPACTED BY THE RELEASE.  LABORATORY ANALYSIS OF SOIL SAMPLES COLLECTED FROM THE IMPACTED AREA INDICATE THAT AN ESTIMATED 455 GALLONS OF PRODUCT ARE CONTAINED WITHIN IMPACTED SOILS.  THE TOTAL RELEASE VOLUME IS BASED UPON THE AMOUNT OF PRODUCT WITHIN IMPACTED SOILS.  AN ESTIMATED 55 GALLONS OF THE RELEASED PRODUCT WERE RECOVERED IN THE 6 CUBIC YARDS OF EXCAVATED SOIL WHICH WILL BE SENT OFF-SITE FOR DISPOSAL.   NO IMPACTS WERE OBSERVED IN ADJACENT GROUNDWATER MONITORING WELLS, HOWEVER, ASSESSMENT ACTIVITIES INDICATE THAT GROUNDWATER MAY BE IMPACTED IN THE IMMEDIATE VICINITY OF THE RELEASE.  CHEMICAL OXIDATION OF IMPACTED SOIL HAS BEEN USED SUCCESSFULLY IN THE RECENT PAST AT THE FACILITY.  REAPPLICATION OF THIS TECHNOLOGY IS EXPECTED TO FULLY ADDRESS IMPACTS TO SOIL AND GROUNDWATER FROM THIS RELEASE.  SURFACE WATER WAS NOT IMPACTED BY THIS RELEASE."
20100138	"7/1/2010"	"KOCH PIPELINE COMPANY, L.P."	"NO"	45.672992	-94.593917	"THE TEFLON RING SEAT ON A ONE INCH CLOSED VALVE FAILED.  THE SEAT WAS LOCATED AT THE END OF THE THREADS WHERE THE TWO PIECE FNW STEEL THREADED BALL VALVE WAS PUT TOGETHER.  THE VALVE WAS RATED FOR 2000 PSI.  THE ONE INCH VALVE WAS PLUGGED TO THE OUTSIDE AND ON THE INSIDE THREADED INTO A FOUR INCH NIPPLE INTO A THREADOLET THAT WAS WELDED TO THE TOP OF THE SUCTION PIPE TO UNIT 3 AT ALBANY STATION."
20100139	"7/1/2010"	"CHEVRON PIPE LINE CO"	"YES"	35.467203	-119.703991	"01 JUN 10 FIELD PERSONNEL INVESTIGATING A POSSIBLE RELEASE NEAR THE BELRIDGE STATION CONFIRMED CRUDE OIL RELEASING FROM AN UNDERGROUND SOURCE ON THE 31-X PIPE LINE ROW, APPROXIMATELY 1/10 MILE NORTH OF THE STATION.  THE SOURCE AND CAUSE ARE CURRENTLY UNDER INVESTIGATION. AFTER FURTHER CALCULATION, THE RELEASED VOLUME WAS ESTIMATED AT 440 BBLS. THE SOURCE OF THE RELEASE WAS UNKNOWN.  FIELD PERSONNEL ARE WORKING TO EXCAVATE THE IMPACTED AREA AND IDENTIFY THE RELEASE POINT. EXCAVATION OF THE AREA HAS DETERMINED THE RELEASE SOURCE IS THE 12﾿ 31X PIPELINE ON THE SAN JOAQUIN VALLEY CRUDE PIPELINE SYSTEM, A CPL OPERATED PIPELINE.  AN INVESTIGATION INTO THE CAUSE HAS BEGUN AND A TEAM IS BEING DEVELOPED TO DETERMINE THE NECESSARY PLAN FOR REPAIRS.  THE VOLUME LEAKED WAS DETERMINED TO BE 508 BBLS. THE DAMAGED PIPE WAS REPLACED."
20100140	"7/7/2010"	"ENBRIDGE ENERGY, LIMITED PARTNERSHIP"	"YES"	44.67167	-90.24833	"WHILE PERFORMING A PLANNED INTEGRITY ASSESSMENT DIG, TRACES OF OIL AND STAINED SOIL/ROCK WERE NOTICED AROUND THE PIPELINE AND THE PIPELINE WAS SHUTDOWN AS A PRECAUTION.  AFTER FURTHER INVESTIGATION IT WAS DISCOVERED THAT THE PIPELINE WAS RESTING ON A SMALL ROCK.  A SMALL CRACK FORMED IN THE DENT AREA AND A SMALL AMOUNT OF CRUDE HAD WEEPED THROUGH THE CRACK-LIKE DEFECT (LESS THAN 5 GALLONS).  THE ENBRIDGE PIPELINE MAINTENANCE CREW REPAIRED THE DAMAGED PIPE USING A FULL ENCIRCLEMENT PRESSURE CONTAINING SLEEVE. ON 6/12/10, DURING SITE RESTORATION CONTRACT CREWS DISCOVERED SOME ADDITIONAL CRUDE OIL NEAR THE ORIGINAL AREA OF THE LEAK (APPROXIMATELY 1 BARREL).  AS SUCH, ENBRIDGE CONTACTED THE NRC (PHMSA AND WDNR), AS THE VOLUME RELEASED REACHED NOTIFICATION/REPORTING QUANTITY. CONTAMINATED SOIL HAS BEEN REMOVED AND DISPOSED AT AN APPROVED LANDFILL LOCATION AND ENBRIDGE ENVIRONMENTAL DEPARTMENT IS PLANNING A SOIL AND GROUNDWATER INVESTIGATION PROGRAM TO DETERMINE IF ADDITIONAL IMPACTS EXIST. BASED ON THE ENVIRONMENTAL INVESTIGATION GROUNDWATER IMPACTS APPEAR TO BE LOCALIZED.  GROUNDWATER MONITORING PROGRAM HAS BEEN DEVELOPED AND AGREED UPON WITH STATE ENVIRONMENTAL REGULATORS. UPDATE  APPROXIMATELY 400 CUBIC YARDS OF CONTAMINATED SOIL WAS REMOVED FROM RELEASE SITE AND DISPOSED AT AN APPROVED LANDFILL.  ENBRIDGE ENVIRONMENTAL DEPARTMENT IS COMPLETING QUARTERLY GROUNDWATER MONITORING WITH POSSIBLE SITE REGULATORY CLOSURE IN LATE 2014."
20100142	"7/9/2010"	"MARATHON PIPE LINE LLC"	"YES"	39.506925	-88.065491	"ON 6/7/2010 AT 12:50 AN MPL OPERATIONS TECHNICIAN RECEIVED A CALL FROM A CORRPRO EOMPLOYEE STATING THAT ON THE AFTERNOON OF 6/6/2010 , WHILE PERFORMING SURVEY WORK ON THE WABASH SYSTEM AT THE POLCATE CREEK CROSSING IN COLES COUNTY, ILLINOIS, A SLIGHT SHEEN WAS NOTICED ON THE CREEK AND THE SMELL OF DIESEL AND GAS WAS PRESENT AT THE SITE. THE MPL OPERATIONS TECHNICIAN NOTIFIED THE MPL OPERATIONS SUPERVISOR. THE MPL OPERATIONS SUPERVISOR NOTIFIED THE MPL FINDLAY OPERATIONS CENTER AND HAD THE PIPELINE SHUTDOWN ON 6/7/201 AT 13:00. TECHNICIANS WERE DISPATCHED TO INVESTIGATE. UPON ARRIVAL, THE TECHNICIANS OBSERVED A SLIGHT SHEEN AND THE SMELL OF DIESEL FUEL. AN EMERGENCY RESPONSE EFFORT ENSUED. THE EMERGENCY RESPONSE EFFORT RESULTED IN THE PIPELINE BEING EXCAVATED UPSTREAM OF THE CREEK AND THE RELEASE POINT BEING LOCATED. A PLIDCO SLEEVE WAS INSTALLED. THE LINE WAS PRESSURE TESTED AND RESTARTED WITHOUT INCIDENT ON 6/8/2201 AT 06:23. THE PIPELINE WAS THEN EXCAVATED FURTHER AND A LONG SEAM INSPECTION WAS CONDUCTED BY AN RTD TECHNICIAN. THE INSPECTION WAS CONDUCTED UPSTREAM AND DOWNSTREAM OF THE PLIDCO SLEEVE AND REVEALED NO FURTHER ISSUES WITH THE LONG SEAM. MPL PIPELINE INTEGRITY WAS NOTIFIED OF THE RESULTS AND CLEARANCE WAS GIVEN TO RECOAT AND BACKFILL THE PIPELINE.  THE LINE SEGMENT WAS REMOVED AT A LATER DATE (SEPTEMBER 2010) AND SENT FOR FAILURE ANALYSIS. THE RESULTS INDICATED THAT THE RELEASE WAS CAUSED BY A LACK OF FUSION (LOF) DEFECT IN THE LONGITUDINAL SEAM THAT WAS APPROXIMATELY 0.38 INCH LONG, EXTENDED ENTIRELY THROUGH THE WELD, AND WAS FROM ORIGINAL MANUFACTURE. THERE WERE NO INDICATIONS THAT FATIGUE, CORROSION OR ENVIRONMENTAL CRACKING OF THE PIPE METAL CONTRIBUTED TO THE FAILURE."
20100143	"7/9/2010"	"MARATHON PIPE LINE LLC"	"NO"	40.706418	-84.113285	"DENSITOMETER PUMP DRILLED A HOLE OUT THE END OF THE BODY CAVITY, AND SPRAYED APPROXIMATELY 4.5 BARRELS OF CRUDE OIL INTO THE SAMPLE BUILDING AND OUT ONTO THE SURROUNDING SOIL."
20100144	"7/9/2010"	"SUNOCO PIPELINE L.P."	"NO"	31.65608	-94.84362	"THE PUMP SEAL HAD A CRACK DUE TO FATIGUE ALLOWING OIL TO BE RELEASED INTO THE PUMP ROOM CONCRETE CONTAINMENT. RE-SUBMITTED ON 3/27/2013 TO INCLUDE PART E5F PER PHMSA REQUEST."
20100145	"7/9/2010"	"CONOCOPHILLIPS"	"NO"	35.94595	-96.75007	"UNIT #2 AT BUXTON STATION WAS STARTED UP AT 8:35AM ON 6/12/10.  OPERATOR ON SHIFT CHECKED UNIT AFTER START UP AND FOUND NO PROBLEMS.  AT 12:30 PM WHILE PERFORMING STATION CHECKS THE OPERATOR FOUND UNIT #2 LEAKING OIL FROM BOTH THE INBOARD AND OUTBOARD SEALS. UPDATED PER BLAINE KEENER E-MAIL DUE TO CHANGES IN PHMSA REPORTING FORM."
20100146	"7/10/2010"	"CHEVRON PIPE LINE CO"	"YES"	40.76505	-111.82493	"CHEVRON PIPE LINE (CPL) CONTROLLER WAS NOTIFIED OF THE SPILL SATURDAY MORNING BY THE SALT LAKE CITY FIRE DEPARTMENT AND CPL IMMEDIATELY SHUT DOWN THE PIPELINE. CPL DISPATCHED EMERGENCY RESPONSE TEAMS TO MANUALLY CLOSE THE VALVE UPSTREAM FROM THE LEAK SITE AND BEGAN CONTAINMENT RESPONSE. CPL NOTIFIED ALL APPROPRIATE FEDERAL, STATE, AND LOCAL EMERGENCY RESPONSE AGENCIES. PRELIMINARY VISUAL OBSERVATIONS OF THE DAMAGED PIPELINE APPEAR CONSISTENT WITH DAMAGE CAUSED BY AN ELECTRICAL ARC, AND WE ARE WORKING WITH ROCKY MOUNTAIN POWER COMPANY TO DEVELOP A TESTING PROTOCOL TO ANALYZE THE PIPELINE TO HELP DETERMINE THE CAUSE OF THE ACCIDENT."
20100147	"7/12/2010"	"SUNCOR ENERGY (USA) PIPELINE CO."	"NO"	41.123379	-104.783855	"TIME LINE FOR JUNE 14, 2010 TANK 1168 OVER FIL. AT THE TIME OF THE INCIDENT SUNCOR PIPELINE CONTROL CENTER WAS FILLING TANK 1168, NOTHING COMING OUT OF THE TANK. OPERATIONS WERE NORMAL. AT 13:34 ON JUNE 14, 2010 OPERATOR  RECEIVED A CALL FROM THE CONTROL CENTER IN SHERWOOD PARK, ALBERTA TO INFORM HIM THEY HAD RECEIVED A HIGH ALARM ON TANK 1168. (THIS WAS THE FIRST AND ONLY ALARM THEY RECEIVED) THE OPERATOR WAS PREPARING TO INVESTIGATE. DATA AT THE CONTROL CENTER SHOWED 1200 BBLS WORKING ROOM. LEVEL WAS ~32 FEET (32,200 BBLS) AND THE TANK TREND SHOWED NORMAL. AT 13:37, OPERATOR WAS TURNING ONTO THE ACCESS ROAD TO CHEYENNE CRUDE STATION AND SAW THE TANK OVER FLOWING. HE IMMEDIATELY CALLED THE CONTROL CENTER TO INFORM THEM TO STOP FLOW INTO TANK 1168 AND SWING INTO TANK 928. AT 13:39 THE VALVE TO TANK 1168 WAS CLOSED. AT 13:30 THE SUNCOR LEAK TRAILER WAS ACTIVATED AND CONTRACTORS WORKING AT THE CRUDE STATION WERE EVACUATED. BARRICADES WERE ESTABLISHED AND ABSORBENT BOOM WAS DEPLOYED. OVERFLOW WAS CONTAINED IN THE TANK DIKE AND NO OIL LEFT SUNCOR﾿S PROPERTY. CLEANUP BEGAN IMMEDIATELY.  PHONE NOTIFICATIONS. 14:30 NCR (944028)  14:40 PHMSA  14:45 WY-DEQ (100614-1400)"
20100148	"7/15/2010"	"SUNOCO PIPELINE L.P."	"NO"	30.94037	-94.40322	"THE BOOSTER PUMP SEAL FAILED ALLOWING CONDENSATE TO BE RELEASED FROM THE PUMP CAVITY. RE-SUBMITTED ON 3/27/2013 TO INCLUDE PART E5F PER PHMSA REQUEST."
20100149	"7/16/2010"	"KOCH PIPELINE COMPANY, L.P."	"NO"	28.279502	-97.29544	"THE DRAIN LINE THAT IS CONNECTED TO SEAL BOX CAUSED SEAL BOX TO OVERFLOW RELEASING CRUDE OIL ONTO THE GROUND AND PUMP SKID."
20100150	"3/5/2010"	"TARGA RESOURCES OPERATING LP"	"YES"	30.25989	-93.20991	"ON THE AFTERNOON OF MONDAY 01/11/2010, A TARGA PIPELINE OPERATOR IN THE PIPELINE CONTROL ROOM OBSERVED THAT A 6 inch NORMAL BUTANE LINE WAS NOT MAINTAINING OPERATIONAL PRESSURE. HE THEN CONTACTED THE PLANT MANAGER AND THE DECISION WAS MADE TO CONTACT THE AIR PATROL AND HAVE THEM FLY THE LINE AND CHECK FOR POSSIBLE LEAKS.  AT 1430, THE AIR PATROL PILOT CONTACTED THE PLANT MANAGER AND INDICATED HE HAD LOCATED A LEAK ON TARGA'S NORMAL BUTANE LINE. HE INDICATED THE PRESENCE OF A VAPOR CLOUD. PIPELINE PERSONNEL WERE IMMEDIATELY DISPATCHED TO CLOSE THE BLOCK VALVES ON BOTH SIDES OF THE INCIDENT/SITE. AT 1445 BOTH BLOCK VALVES WERE REPORTED TO BE SHUT IN. AT 1500 THE NRC WAS CONTACTED, (INCIDENT #928272). AT 1520 THE LA. HAZ-MAT. WAS CONTACTED,(INCIDENT # 10-00214). AT 1610 THE LA. STATE PIPELINE SAFETY DIVISION IN BATON ROUGE WAS CONTACTED. THE LA DEQ AND US COAST GUARD WERE ALSO NOTIFIED OF THE INCIDENT. AT APPROXIMATELY 1600 HRS. PERSONNEL ARRIVED AT THE LEAK SITE BY BOAT. PERSONNEL FOUND THAT THE LEAK WAS UNDER GROUND IN A MARSH AREA, ADJACENT TO THE AREA THAT THE PIPE COMES ABOVE GROUND ONTO PIPE STANCHIONS. IT APPEARED THAT THE MAJORITY OF THE PRODUCT HAD BEEN RELEASED AS A VAPOR TO THE ATMOSPHERE. A LARGE AREA SURROUNDING THE LEAK WAS FROZEN. THE REMAINING PRODUCT IN THE DAMAGED SECTION OF THE PIPELINE WAS DEPRESSURED BY 1900 ON MONDAY 01/11/10.(25 BBLS VENTED TO FLARE)  WEATHER CONDITIONS AT THE TIME PIPELINE PERSONNEL ARRIVED ON THE SCENE: TEMPERATURE 52ﾰ CLEAR SKIES WITH FREQUENT WINDS OUT OF THE NORTH. 5-10 MPH. NO VISIBLE SHEEN WAS NOTICED.  AFTER EXCAVATING PIPELINE AT LEAK SITE, INVESTIGATION INDICATED THAT THE RELEASE WAS THE RESULT OF PIPE FAILURE. THE FAILURE OCCURRED APPROXIMATELY ﾽ INCH OUTSIDE OF BOTTOM WELD OF AN UNDERGROUND 90 DEGREE FITTING.  THE (CUT-OUT) PIPE WAS SENT TO A LABORATORY TO DETERMINE CAUSE OF FAILURE. AFTER THOROUGH EXAMINATION AND ANALYSIS FROM THE METEOROLOGISTS, IT WAS DETERMINED THAT THE CAUSE OF FAILURE WAS DUE TO STRESS FATIGUE. THIS LINE IS PART OF OUR INTEGRITY MANAGEMENT PROGRAM AND WAS PRESSURE TESTED IN 2007."
20100151	"7/21/2010"	"MARATHON PIPE LINE LLC"	"YES"	28.711239	-89.437681	"rmthomson@marathonoil.com"
20100152	"7/21/2010"	"MARATHON PIPE LINE LLC"	"NO"	38.828047	-90.085713	"A BLEEDER VALVE WAS LEFT OPEN DURING A PROJECT TO REMOVE A CHECK VALVE AT ROXANA WOODPAT STATION. THE VALVE WAS BEING USED TO MAKE SURE PRESSURE WAS NOT BUILDING ON THE STATION PIPING THAT HAD BEEN DRAINED TO REMOVE A CHECK VALVE. AFTER VALVE WORK WAS COMPLETE AND LINE WAS BEING REFILLED (RECOMMISSIONED), THE LEAK WAS DISCOVERED. THE VALVE WAS IN THE INCORRECT POSITION FOR NORMAL OPERATIONS. MPL EMPLOYEE DID NOT ADHERE TO THE PROCEDURE LEADING TO THE INCORRECT OPERATION DURING MAINTENANCE EVENT."
